# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 546927089
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] pty_write
     0.09%  swapper       [kernel.kallsyms]        [k] update_rq_clock
     0.09%  swapper       [kernel.kallsyms]        [k] enqueue_task_fair
     0.09%  swapper       [kernel.kallsyms]        [k] psi_group_change
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] dequeue_entity
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] native_sched_clock
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_unlock
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] select_idle_sibling
     0.07%  rte-worker-2  [kernel.kallsyms]        [k] wake_up_process
     0.05%  perf          [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]        [k] memcpy_fromio
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
