# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 531350207
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     0.21%  rte-worker-2  [kernel.kallsyms]        [k] remove_wait_queue
     0.21%  rte-worker-2  [kernel.kallsyms]        [k] do_output_char
     0.21%  rte-worker-2  [kernel.kallsyms]        [k] process_echoes
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] entry_SYSCALL_64_safe_stack
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] copyin
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] mutex_trylock
     0.20%  rte-worker-2  libc-2.31.so             [.] _IO_file_write@@GLIBC_2.2.5
     0.20%  rte-worker-2  libc-2.31.so             [.] __GI___libc_write
     0.20%  rte-worker-2  [kernel.kallsyms]        [k] rcu_all_qs
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] ksys_write
     0.18%  rte-worker-2  libc-2.31.so             [.] __memmove_avx_unaligned_erms
     0.12%  rte-worker-2  [kernel.kallsyms]        [k] rcu_read_unlock_strict
     0.11%  swapper       [kernel.kallsyms]        [k] ktime_get_update_offsets_now
     0.11%  swapper       [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.11%  swapper       [kernel.kallsyms]        [k] native_read_msr
     0.11%  swapper       [kernel.kallsyms]        [k] invoke_rcu_core
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] put_prev_task_fair
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] up_read
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.11%  swapper       [kernel.kallsyms]        [k] update_process_times
     0.10%  swapper       [kernel.kallsyms]        [k] irq_work_run_list
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __switch_to_asm
     0.10%  rte-worker-2  libc-2.31.so             [.] _IO_fflush
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.10%  swapper       [kernel.kallsyms]        [k] acpi_idle_enter
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_deref
     0.10%  rte-worker-2  libc-2.31.so             [.] __libc_enable_asynccancel
     0.10%  swapper       [kernel.kallsyms]        [k] __lock_text_start
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] psi_group_change
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] cpumask_next_and
     0.10%  swapper       [kernel.kallsyms]        [k] perf_mux_hrtimer_handler
     0.10%  swapper       [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] kthread_is_per_cpu
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __radix_tree_lookup
     0.10%  swapper       [kernel.kallsyms]        [k] read_tsc
     0.10%  rte-worker-2  librte_hash.so.23.0      [.] __rte_hash_lookup_with_hash
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] fput
     0.10%  swapper       [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.10%  swapper       [kernel.kallsyms]        [k] update_load_avg
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __smp_call_single_queue
     0.10%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_process_v
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] wait_woken
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] tty_hung_up_p
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __fdget_pos
     0.10%  swapper       [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] aa_label_is_subset
     0.10%  swapper       [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_lock
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] update_rt_rq_load_avg
     0.09%  swapper       [kernel.kallsyms]        [k] psi_group_change
     0.09%  rte-worker-2  libc-2.31.so             [.] __memcmp_avx2_movbe
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] fput_many
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] check_stack_object
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] aa_file_perm
     0.09%  swapper       [kernel.kallsyms]        [k] native_write_msr
     0.09%  swapper       [kernel.kallsyms]        [k] __hrtimer_get_next_event
     0.09%  rte-worker-2  libc-2.31.so             [.] __strchrnul_avx2
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] security_file_permission
     0.06%  perf          [kernel.kallsyms]        [k] __set_cpus_allowed_ptr_locked
     0.00%  perf          [kernel.kallsyms]        [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]        [k] native_sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
