# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 961  of event 'cycles'
# Event count (approx.): 504000765
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     0.64%  rte-worker-2  [kernel.kallsyms]        [k] new_sync_write
     0.62%  rte-worker-2  [kernel.kallsyms]        [k] pty_write
     0.55%  rte-worker-2  [kernel.kallsyms]        [k] tty_insert_flip_string_fixed_flag
     0.53%  rte-worker-2  [kernel.kallsyms]        [k] pty_write_room
     0.52%  rte-worker-2  [kernel.kallsyms]        [k] __lock_text_start
     0.52%  swapper       [kernel.kallsyms]        [k] acpi_processor_ffh_cstate_enter
     0.49%  rte-worker-2  [kernel.kallsyms]        [k] __x64_sys_write
     0.44%  rte-worker-2  [kernel.kallsyms]        [k] mutex_lock
     0.44%  rte-worker-2  [kernel.kallsyms]        [k] __check_object_size
     0.44%  rte-worker-2  [kernel.kallsyms]        [k] __virt_addr_valid
     0.43%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.41%  rte-worker-2  [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     0.41%  rte-worker-2  [kernel.kallsyms]        [k] up_read
     0.41%  rte-worker-2  [kernel.kallsyms]        [k] get_work_pool
     0.40%  rte-worker-2  [kernel.kallsyms]        [k] __wake_up_common_lock
     0.40%  rte-worker-2  [kernel.kallsyms]        [k] __tty_buffer_request_room
     0.40%  rte-worker-2  nflr                     [.] interval_tree_rtc
     0.32%  rte-worker-2  [kernel.kallsyms]        [k] __check_heap_object
     0.32%  rte-worker-2  librte_hash.so.23.0      [.] __rte_hash_lookup_with_hash
     0.31%  rte-worker-2  [kernel.kallsyms]        [k] ldsem_down_read
     0.30%  rte-worker-2  libc-2.31.so             [.] __libc_enable_asynccancel
     0.30%  rte-worker-2  [kernel.kallsyms]        [k] down_read
     0.23%  rte-worker-2  [kernel.kallsyms]        [k] mutex_trylock
     0.22%  rte-worker-2  [kernel.kallsyms]        [k] fput_many
     0.22%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_room
     0.22%  rte-worker-2  [kernel.kallsyms]        [k] tty_write
     0.22%  rte-worker-2  [kernel.kallsyms]        [k] tty_paranoia_check
     0.21%  rte-worker-2  [kernel.kallsyms]        [k] sched_clock_cpu
     0.21%  rte-worker-2  nflr                     [.] worker_fsm_amac_thread
     0.21%  rte-worker-2  libc-2.31.so             [.] _itoa_word
     0.21%  rte-worker-2  [kernel.kallsyms]        [k] ksys_write
     0.20%  rte-worker-2  libc-2.31.so             [.] _IO_fflush
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] update_blocked_averages
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.19%  rte-worker-2  libc-2.31.so             [.] __libc_disable_asynccancel
     0.19%  rte-worker-2  [kernel.kallsyms]        [k] syscall_enter_from_user_mode
     0.18%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_deref
     0.18%  rte-worker-2  [kernel.kallsyms]        [k] __wake_up_common
     0.13%  rte-worker-2  [kernel.kallsyms]        [k] select_idle_sibling
     0.12%  rte-worker-2  [kernel.kallsyms]        [k] rcu_all_qs
     0.12%  swapper       [kernel.kallsyms]        [k] invoke_rcu_core
     0.12%  swapper       [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.12%  rte-worker-2  libc-2.31.so             [.] __memmove_avx_unaligned_erms
     0.12%  rte-worker-2  libpthread-2.31.so       [.] _pthread_cleanup_push_defer
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] process_echoes
     0.11%  swapper       [kernel.kallsyms]        [k] update_process_times
     0.11%  swapper       [kernel.kallsyms]        [k] rb_next
     0.11%  swapper       [kernel.kallsyms]        [k] timekeeping_advance
     0.11%  rte-worker-2  libc-2.31.so             [.] 0x0000000000022394
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] __cond_resched
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] remove_wait_queue
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] cpuacct_charge
     0.11%  rte-worker-2  libc-2.31.so             [.] __strchrnul_avx2
     0.11%  rte-worker-2  [kernel.kallsyms]        [k] save_fpregs_to_fpstate
     0.11%  rte-worker-2  libc-2.31.so             [.] __mempcpy_avx_unaligned_erms
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] rw_verify_area
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] do_output_char
     0.10%  swapper       [kernel.kallsyms]        [k] pick_next_task_fair
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] ldsem_up_read
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] fput
     0.10%  swapper       [kernel.kallsyms]        [k] do_idle
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] psi_group_change
     0.10%  swapper       [kernel.kallsyms]        [k] native_irq_return_iret
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] mark_wake_futex
     0.10%  rte-worker-2  librte_net_mlx5.so.23.0  [.] rxq_cq_decompress_v
     0.10%  rte-worker-2  libc-2.31.so             [.] __printf_chk
     0.10%  swapper       [kernel.kallsyms]        [k] psi_group_change
     0.10%  swapper       [kernel.kallsyms]        [k] rcu_sched_clock_irq
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] apparmor_file_permission
     0.10%  swapper       [kernel.kallsyms]        [k] poll_idle
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] __handle_mm_fault
     0.10%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get_real_seconds
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] cpumask_next_and
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] tty_write_lock
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] tty_ldisc_ref_wait
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] radix_tree_load_root
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] add_wait_queue
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] iov_iter_init
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] security_file_permission
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.08%  rte-worker-2  [kernel.kallsyms]        [k] native_tss_update_io_bitmap
     0.06%  perf          [kernel.kallsyms]        [k] copy_user_generic_unrolled
     0.00%  perf          [kernel.kallsyms]        [k] memcpy_fromio
     0.00%  perf          [kernel.kallsyms]        [k] sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
